PAC_NAME,RUSSELL_1000_COMPANY,TRANSACTION_YEAR,TRANSACTION_AMT,TRANSACTION_TP,COSINE_SIMILARITY
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,5000,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,5000,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
NUCOR CORPORATION POLITICAL ACTION COMMITTEE,NUCOR CORP,2009,1000,24I,1
ECOLAB PAC,ECOLAB INC,2009,1000,24I,1
NUCOR CORPORATION POLITICAL ACTION COMMITTEE,NUCOR CORP,2009,1000,24I,1
ECOLAB PAC,ECOLAB INC,2009,1000,24I,1
NUCOR CORPORATION POLITICAL ACTION COMMITTEE,NUCOR CORP,2009,1000,24I,1
GODADDY.COM PAC,GODADDY INC,2009,1000,24I,1
HUMANA INC PAC,HUMANA INC,2009,1500,24I,1
HUMANA INC PAC,HUMANA INC,2009,500,24I,1
HUMANA INC PAC,HUMANA INC,2009,500,24I,1
HUMANA INC PAC,HUMANA INC,2009,2500,24I,1
HUMANA INC PAC,HUMANA INC,2009,1000,24I,1
HUMANA INC PAC,HUMANA INC,2009,1500,24I,1
HUMANA INC PAC,HUMANA INC,2009,1000,24I,1
HUMANA INC PAC,HUMANA INC,2009,500,24I,1
HUMANA INC PAC,HUMANA INC,2009,500,24I,1
HUMANA INC PAC,HUMANA INC,2009,1000,24I,1
THE HOME DEPOT INC PAC,HOME DEPOT INC,2009,1000,24I,1
THE HOME DEPOT INC PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC PAC,HOME DEPOT INC,2009,2500,24I,1
THE HOME DEPOT INC PAC,HOME DEPOT INC,2009,1500,24I,1
THE HOME DEPOT INC PAC,HOME DEPOT INC,2009,2500,24I,1
UNITED PARCEL SERVICE INC. PAC,UNITED PARCEL SERVICE,2009,5000,24I,1
"CHARTER COMMUNICATIONS, INC. PAC",CHARTER COMM INC,2009,500,24I,1
ELI LILLY AND COMPANY POLITICAL ACTION COMMITTEE,LILLY ELI & CO,2009,1000,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2009,5000,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2009,3000,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2009,3000,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2009,5000,24I,1
MICROSOFT CORPORATION PAC,MICROSOFT CORP,2009,1000,24I,1
MICROSOFT CORPORATION PAC,MICROSOFT CORP,2009,250,15,1
UNITED PARCEL SERVICE INC. PAC,UNITED PARCEL SERVICE,2010,5000,24I,1
CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,CHEVRON CORP,2010,1000,15,1
EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,NORTHROP GRUMMAN CORP,2010,1000,15,1
ILLINOIS TOOL WORKS FOR BETTER GOVERNMENT COMMITTEE,ILLINOIS TOOL WORKS INC,2010,1000,15,1
LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,LOCKHEED MARTIN CORP,2010,1000,15,1
NUCOR CORPORATION POLITICAL ACTION COMMITTEE,NUCOR CORP,2010,1000,15,1
AT&T INC. FEDERAL POLITICAL ACTION COMMITTEE (AT&T FEDERAL PAC),AT&T INC,2010,5000,15,1
UNITED PARCEL SERVICE INC. PAC,UNITED PARCEL SERVICE,2010,5000,24I,1
CSX CORPORATION GOOD GOVERNMENT FUND,CSX CORP,2010,2000,15,1
HONEYWELL INTERNATIONAL PAC,HONEYWELL INTERNATIONAL,2010,2500,24I,1
THE WILLIAMS COMPANIES INC,WILLIAMS COMPANIES INC,2010,1000,15,1
ACCENTURE NATIONAL STATE AND LOCAL PAC,ACCENTURE PLC IRELAND,2010,1000,10,1
PFIZER INC. PAC,PFIZER INC,2010,3000,24I,1
MARRIOTT INTERNATIONAL INC. PAC,MARRIOTT INTL INC,2010,1500,24I,1
PFIZER INC. PAC,PFIZER INC,2010,2000,24I,1
PFIZER INC. PAC,PFIZER INC,2010,2500,24I,1
AMGEN INC. POLITICAL ACTION COMMITTEE,AMGEN INC,2010,1000,24I,1
PFIZER INC. PAC,PFIZER INC,2010,447,24I,1
FORD MOTOR COMPANY CIVIC ACTION FUND,FORD MOTOR CO,2010,1000,24I,1
HOME DEPOT INC. POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2010,5000,24I,1
PFIZER INC. PAC,PFIZER INC,2010,2000,24I,1
PFIZER INC. PAC,PFIZER INC,2010,1500,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
CSX CORPORATION GOOD GOVERNMENT FUND,CSX CORP,2010,2000,24I,1
CSX CORPORATION GOOD GOVERNMENT FUND,CSX CORP,2010,2000,24I,1
HONEYWELL INTERNATIONAL PAC,HONEYWELL INTERNATIONAL,2010,3000,24I,1
HONEYWELL INTERNATIONAL PAC,HONEYWELL INTERNATIONAL,2010,500,24I,1
HONEYWELL INTERNATIONAL PAC,HONEYWELL INTERNATIONAL,2010,1500,24I,1
WEYERHAEUSER POLITICAL ACTION COMMITTEE,WEYERHAEUSER CO,2010,1000,24I,1
WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE,WEYERHAEUSER CO,2010,2000,15,1
LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,LOCKHEED MARTIN CORP,2010,1000,15,1
KANSAS CITY SOUTHERN EMPLOYEE PAC,KANSAS CITY SOUTHERN,2010,500,15,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,2500,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2010,1000,24I,1
MICROSOFT CORPORATION PAC,MICROSOFT CORP,2010,1000,24I,1
ASSURANT INC. POLITICAL ACTION COMMITTEE,ASSURANT INC,2010,1000,15,1
JOHNSON & JOHNSON POLITICAL ACTION COMMITTEE,JOHNSON & JOHNSON,2010,1000,15,1
UNITED PARCEL SERVICE INC. PAC,UNITED PARCEL SERVICE,2010,5000,24I,1
GOLDMAN SACHS GROUP INC. PAC,GOLDMAN SACHS GROUP INC,2010,2500,24I,1
GOLDMAN SACHS GROUP INC. PAC,GOLDMAN SACHS GROUP INC,2010,5000,24I,1
PFIZER INC. PAC,PFIZER INC,2010,2000,24I,1
PFIZER INC. PAC,PFIZER INC,2010,2000,24I,1
UNITED STATES STEEL PAC,UNITED STATES STEEL CORP,2010,2500,24I,1
THE INTUIT 21ST CENTURY LEADERSHIP FUND,INTUIT,2010,1000,24I,1
UNITED STATES STEEL PAC,UNITED STATES STEEL CORP,2010,1000,24I,1
NUCOR CORPORATION POLITICAL ACTION COMMITTEE,NUCOR CORP,2010,1000,24I,1
THE INTUIT 21ST CENTURY LEADERSHIP FUND,INTUIT,2010,1500,24I,1
MCDONALD'S PAC,MCDONALDS CORP,2010,2500,24I,1
DUKE ENERGY CORPORATION PAC,DUKE ENERGY CORP,2010,1000,15,1
CONOCOPHILLIPS SPIRIT PAC,CONOCOPHILLIPS,2010,2000,15,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2011,1000,24I,1
"CHARTER COMMUNICATIONS, INC. PAC",CHARTER COMM INC,2011,1000,24I,1
"CHARTER COMMUNICATIONS, INC. PAC",CHARTER COMM INC,2011,1000,24I,1
"CHARTER COMMUNICATIONS, INC. PAC",CHARTER COMM INC,2011,1000,24I,1
CHARLES SCHWAB CORPORATION PAC,SCHWAB CHARLES CORP,2011,1500,24I,1
CME GROUP INC. PAC,CME GROUP INC,2011,5000,10,1
HOME DEPOT PAC,HOME DEPOT INC,2011,5000,10,1
UNITED PARCEL SERVICE INC. PAC,UNITED PARCEL SERVICE,2011,5000,10,1
CHESAPEAKE ENERGY CORPORATION FED-PAC,CHESAPEAKE ENERGY CORP,2011,125000,10,1
UNITED TECHNOLOGIES PAC,UNITED TECHNOLOGIES,2011,1000,15,1
"UNITED PARCEL SERVICE, INC. PAC",UNITED PARCEL SERVICE,2011,3000,15,1
"THERMO FISHER SCIENTIFIC, INC PAC",THERMO FISHER SCIENTIFIC,2011,1000,15,1
OCCIDENTAL PETROLEUM CORPORATION PAC,OCCIDENTAL PETE CORP,2011,1000,15,1
MCDONALD'S POLITICAL ACTION COMMITTEE,MCDONALDS CORP,2011,2500,24I,1
DELTA AIR LINES PAC,DELTA AIR LINES INC,2011,1000,24I,1
DELTA AIR LINES PAC,DELTA AIR LINES INC,2011,1000,24I,1
CENTURYLINK EMPLOYEES' POLITICAL ACTION COMMITTEE,CENTURYLINK INC,2011,2500,15,1
JPMORGAN CHASE & CO PAC,JPMORGAN CHASE & CO,2011,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2011,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2011,1000,24I,1
JPMORGAN CHASE & CO PAC,JPMORGAN CHASE & CO,2011,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN PAC,NORTHROP GRUMMAN CORP,2011,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN PAC,NORTHROP GRUMMAN CORP,2011,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN PAC,NORTHROP GRUMMAN CORP,2011,1000,24I,1
REGIONS FINANCIAL PAC,REGIONS FINANCIAL CORP,2011,1000,15,1
PEPSICO INC. CONCERNED CITIZENS FUND,PEPSICO INC,2011,1000,15,1
AMGEN PAC,AMGEN INC,2011,1000,15,1
KANSAS CITY SOUTHERN EMPLOYEE PAC,KANSAS CITY SOUTHERN,2011,1000,15,1
BOEING PAC,BOEING CO,2011,1000,15,1
CSX CORPORATION GOOD GOVERNMENT FUND,CSX CORP,2011,2000,15,1
HONEYWELL INTERNATIONAL PAC,HONEYWELL INTERNATIONAL,2011,5000,15,1
THE BOEING COMPANY PAC,BOEING CO,2011,1000,15,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2011,5000,15,1
LOCKHEED MARTIN EMPLOYEES PAC,LOCKHEED MARTIN CORP,2011,1000,15,1
HONEYWELL INTERNATIONAL PAC,HONEYWELL INTERNATIONAL,2011,5000,15,1
THE BOEING COMPANY PAC,BOEING CO,2011,1000,15,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2011,874,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2011,1374,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2011,2374,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2011,1374,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2011,1374,24I,1
"ACCENTURE INC., PAC",ACCENTURE PLC IRELAND,2012,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,NORTHROP GRUMMAN CORP,2012,1500,24I,1
VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,VALERO ENERGY CORP,2012,1000,15,1
ENTERGY CORPORATION POLITICAL ACTION COMMITTEE (ENPAC),ENTERGY CORP,2012,1000,15,1
"UNITED PARCEL SERVICE, INC. PAC",UNITED PARCEL SERVICE,2012,5000,10,1
CAESARS ENTERTAINMENT POLITICAL ACTION COMMITTEE,CAESARS ENTMT CORP,2012,1000,24I,1
VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,VALERO ENERGY CORP,2012,10000,10,1
UNITED PARCEL SERVICE PAC,UNITED PARCEL SERVICE,2012,5000,24I,1
VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,VALERO ENERGY CORP,2012,10000,10,1
MGM RESORTS INTERNATIONAL PAC,MGM RESORTS INTL,2012,1000,24I,1
PFIZER INC. PAC,PFIZER INC,2012,2500,10,1
"UNITED PARCEL SERVICE, INC. POLITICAL ACTION COMMITTEE",UNITED PARCEL SERVICE,2012,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2012,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2012,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2012,2000,24I,1
"PEPSICO, INC. CONCERNED CITIZENS FUND",PEPSICO INC,2012,1000,24I,1
ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC),ABIOMED INC,2012,15000,10,1
THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,1000,15,1
THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,4000,15,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,5000,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,5000,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
HOME DEPOT INC POLITICAL ACTION COMMITTEE,HOME DEPOT INC,2012,2500,24I,1
CSX CORPORATION GOOD GOVERNMENT FUND,CSX CORP,2012,1000,24I,1
"T-MOBILE USA, INC. PAC (T-PAC)",T-MOBILE US INC,2012,1000,24I,1
"T-MOBILE USA, INC. PAC (T-PAC)",T-MOBILE US INC,2012,1000,24I,1
PG&E CORPORATION EMPLOYEES ENERGYPAC,PG&E CORP,2012,1000,24I,1
PG&E CORPORATION EMPLOYEES ENERGYPAC,PG&E CORP,2012,1000,24I,1
PG&E CORPORATION EMPLOYEES ENERGYPAC,PG&E CORP,2012,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2012,1000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2012,2000,24I,1
GOOGLE INC. NETPAC,ALPHABET INC CL A,2012,2000,24I,1
"MERCK & CO., INC., EMPLOYEES POLITICAL ACTION COMMITTEE (MERCK PAC)",MERCK & CO INC,2012,5000,10,1
GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC),GENERAL DYNAMICS CORP,2012,1000,15,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2012,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2012,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2012,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2012,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2012,1000,24I,1
"CHARTER COMMUNICATIONS, INC. PAC",CHARTER COMM INC,2012,1000,24I,1
"CHARTER COMMUNICATIONS, INC. PAC",CHARTER COMM INC,2012,1000,24I,1
THE BOEING COMPANY POLITICAL ACTION COMMITTEE,BOEING CO,2012,5000,15,1
HERBALIFE INTERNATIONAL POLITICAL ACTION COMMITTEE,HERBALIFE NUTRITION LTD,2013,1000,24I,1
THE BOEING COMPANY POLITICAL ACTION COMMITTEE,BOEING CO,2013,25000,10,1
PFIZER INC. PAC,PFIZER INC,2013,3000,10,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2013,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2013,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2013,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2013,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2013,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2013,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORP. PAC,NORTHROP GRUMMAN CORP,2013,1000,24I,1
MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,MICROSOFT CORP,2013,1000,24I,1
TRANS UNION POLITICAL ACTION COMMITTEE,TRANSUNION,2013,1000,24I,1
CHARLES SCHWAB CORPORATION POLITICAL ACTION COMMITTEE,SCHWAB CHARLES CORP,2013,1000,24I,1
EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,NORTHROP GRUMMAN CORP,2013,2500,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,2350,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,2350,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,2350,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3350,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3350,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3850,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3850,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,3850,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4850,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4746,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4850,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4850,24I,1
HONEYWELL INTERNATIONAL INC PAC,HONEYWELL INTERNATIONAL,2013,4850,24I,1
PG&E CORPORATION EMPLOYEES ENERGYPAC,PG&E CORP,2013,500,24I,1
PG&E CORPORATION EMPLOYEES ENERGYPAC,PG&E CORP,2013,1000,24I,1
PG&E CORPORATION EMPLOYEES ENERGYPAC,PG&E CORP,2013,1000,24I,1
PFIZER INC. PAC,PFIZER INC,2013,2000,24I,1
PFIZER INC. PAC,PFIZER INC,2013,2000,24I,1
PFIZER INC. PAC,PFIZER INC,2013,2000,24I,1
PFIZER INC. PAC,PFIZER INC,2013,2000,24I,1
